Row #,User Input (userinput*.txt),ofe 1,ofe 2,ofe 3,ofe 4 (buffer),,Row #,Fixed Input (fixedinput*.txt),Only one column (same for all OFE's),,Row #,File Name Input (filename*.txt),Only one column (same for all OFE's),,Schedule Input (sched*.txt),,,,Appln Amt (kg/ha),,,,,,,,,,,
1,Run #,1,1,1,,,1,Buffer mixing layer depth (m),0,,1,wat file name,C:\Users\Sheila\Documents\MATLAB\wat01.txt,,Row #,Year,Crop ID,Appln Day,OFE1,OFE2,OFE3,OFE4,Planting Day,Harvest Day,Plowing Day,Tillage Depth (m),Crop Root Depth (m),Buffer Root Depth (m),"N Fertilizer Code (1=manure, 2=fertilizer)",
2,# years in simulation,10,10,10,,,2,DP Immobilization rate (days),10,,2,crop file name,C:\Users\Sheila\Documents\MATLAB\crop01.txt,,,1,1,132,5,5,5,0,125,284,101,0.05,1.52,0,1,
3,number of OFE,3,3,3,,,3,Percent P205 available to plants (assume (NH4)3PO4 fertilizer),0.0015,,3,elem file name,C:\Users\Sheila\Documents\MATLAB\elem01.txt,,,1,1,132,5,5,5,0,125,284,125,0.05,1.52,0,1,
4,Depth to Restrictive Layer (cm),20,20,20,,,4,P model factor change rate for 10 degC change in soil temp (no units),20,,4,schedule file name,C:\Users\Sheila\Documents\MATLAB\sched01.txt,,,1,1,132,5,5,5,0,125,284,305,0.1,1.52,0,1,
5,Bulk Density (g/cm^3)* (crop 1),1.45,1.45,1.45,,,5,Reference DP plant/soil complex export coefficient (mewTS),0.004,,,,,,,2,2,140,5,5,5,0,132,274,130,0.05,1,0,2,
6,Bulk Density (g/cm^3)* (crop 2),1.45,1.45,1.45,,,6,P model decay time step (days),1,,,,,,,2,2,140,5,5,5,0,132,274,132,0.05,1,0,2,
7,Bulk Density (g/cm^3)* (crop 3),0,0,0,,,7,P model reference soil temp  (degC),20,,,,,,,2,2,140,5,5,5,0,132,274,305,0.05,1,0,2,
8,Bulk Density (g/cm^3)* (crop 4),0,0,0,,,8,Fraction of active N in manure,0.02,,,,,,,3,1,125,5,5,5,0,125,284,101,0.05,1.52,0,1,
9,Theta S (crop 1),0.45,0.45,0.45,,,9,Fraction of available mineral N,0.08,,,,,,,3,1,125,5,5,5,0,125,284,125,0.05,1.52,0,1,
10,Theta S (crop 2),0.45,0.45,0.45,,,10,Fraction of N transferred betw. orgNstab and orgNact pools,1.00E-05,,,,,,,3,1,125,5,5,5,0,125,284,305,0.1,1.52,0,1,
11,Theta S (crop3),0,0,0,,,11,Nitrate-ammonium ratio,8,,,,,,,4,2,142,5,5,5,0,132,274,130,0.05,1,0,2,
12,Theta S (crop4),0,0,0,,,12,N model factor change rate for 10 degC change in soil temp (no units),3,,,,,,,4,2,142,5,5,5,0,132,274,132,0.05,1,0,2,
13,Theta FC (crop 1),0.29,0.29,0.29,,,13,N model reference soil temp (degC),20,,,,,,,4,2,142,5,5,5,0,132,274,305,0.05,1,0,2,
14,Theta FC (crop 2),0.29,0.29,0.29,,,14,Half life of orgNact (days),182,,,,,,,5,1,126,5,5,5,0,125,284,101,0.05,1.52,0,1,
15,Theta FC (crop 3),0,0,0,,,15,Half life of orgNfrsh (days),30,,,,,,,5,1,126,5,5,5,0,125,284,125,0.05,1.52,0,1,
16,Theta FC (crop 4),0,0,0,,,16,Half life of orgNstab (days),730,,,,,,,5,1,126,5,5,5,0,125,284,305,0.1,1.52,0,1,
17,Theta WP (crop 1),0.14,0.14,0.14,,,17,Potential rate of denitrification (kg/(m^2*d)),1.00E-04,,,,,,,6,2,142,5,5,5,0,132,274,130,0.05,1,0,2,
18,Theta WP (crop 2),0.14,0.14,0.14,,,18,Saturation activity for moistfact fuction,0.6,,,,,,,6,2,142,5,5,5,0,132,274,132,0.05,1,0,2,
19,Theta WP (crop 3),0,0,0,,,19,Specific nitrification rate (1/d),0.2,,,,,,,6,2,142,5,5,5,0,132,274,305,0.05,1,0,2,
20,Theta WP (crop 4),0,0,0,,,20,OrgNstab specific mineralization constant rate (1/d),7.00E-05,,,,,,,7,1,132,5,5,5,0,125,284,101,0.05,1.52,0,1,
21,OM % (crop 1),1.90,1.90,1.90,,,21,Half saturation constant for denitrification (ppm),10,,,,,,,7,1,132,5,5,5,0,125,284,125,0.05,1.52,0,1,
22,OM % (crop 2),1.90,1.90,1.90,,,22,C/N ratio threshold for mobilization/immobilization,10,,,,,,,7,1,132,5,5,5,0,125,284,305,0.1,1.52,0,1,
23,OM% (crop 3),0,0,0,,,23,OrgNfrsh decomposition rate (1/d),0.035,,,,,,,8,2,144,5,5,5,0,132,274,130,0.05,1,0,2,
24,OM% (crop 4),0,0,0,,,24,Synthesis efficiency constant for cfrsh,0.5,,,,,,,8,2,144,5,5,5,0,132,274,132,0.05,1,0,2,
25,"Nutrients and herbicide corporated? (yes=1,no=0)",1,1,1,,,25,C humification fraction,0.2,,,,,,,8,2,144,5,5,5,0,132,274,305,0.05,1,0,2,
26,KOC (cm^3/g) (crop 1) = corn,10000,10000,10000,,,26,"Min soil temp for chem, phys, bio processes (degC)",-2,,,,,,,9,1,132,5,5,5,0,125,284,101,0.05,1.52,0,1,
27,KOC (cm^3/g) (crop 2) = soy,10000,10000,10000,,,27,Denitrification threshold water content (=to thetaFC),0.30,,,,,,,9,1,132,5,5,5,0,125,284,125,0.05,1.52,0,1,
28,KOC (cm^3/g) (crop 3),0,0,0,,,28,deltheta1,0.1,,,,,,,9,1,132,5,5,5,0,125,284,305,0.1,1.52,0,1,
29,KOC (cm^3/g) (crop 4),0,0,0,,,29,deltheta2,0.08,,,,,,,10,2,144,5,5,5,0,132,274,130,0.05,1,0,2,
30,half-life (days) (crop 1) = corn,10,10,10,,,30,N model decay time step (days),1,,,,,,,10,2,144,5,5,5,0,132,274,132,0.05,1,0,2,
31,half-life (days) (crop 2) = soy,10,10,10,,,31,Fraction of N (by weight) in manure (depends on manure type),0.017,,,,,,,10,2,144,5,5,5,0,132,274,305,0.05,1,0,2,
32,half-life (days) (crop 3),0,0,0,,,32,Manure C:N ratio (depends on manure type),18,,,,,,,,,,,,,,,,,,,,,
33,half-life (days) (crop4),0,0,0,,,33,"Stable C fraction of residue (flat, buried, and dead root)",0.4,,,,,,,,,,,,,,,,,,,,,
34,STP (mg/kg),10,10,10,,,34,CEC factor,0.15,,,,,,,,,,,,,,,,,,,,,
35,Nitrate at the surface (ppm),0,0,0,,,35,"Buffer ofe (number, 0 if none and max OFE if presant)",0,,,,,,,,,,,,,,,,,,,,,
36,Soil N (ppm) (if they don't enter something please use 9999),0,0,0,,,36,"Mixing layer depth (m), for NT runs (aka no plowing)",0.1,,,,,,,,,,,,,,,,,,,,,
37,"Buffer (yes=1, no=0)",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Length ofe (m),100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Width ofe (m),100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Berm ofe (m),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Mixing layer depth (m), initial for application day",0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
